bytes_in,bytes_out,total_bytes,bytes_out_in_ratio,creation_time_dt,end_time_dt,src_ip,is_repeated_src_ip_flag,src_ip_country_code,event_time_dt,attack_hour
952,668,1620,0.701680672,2024-04-25 23:30:00,2024-04-25 23:40:00,192.241.230.19,1,US,2024-04-25 23:30:00,23
36745,28952,65697,0.787916723,2024-04-25 23:40:00,2024-04-25 23:50:00,165.225.33.6,1,US,2024-04-25 23:40:00,23
12068,25589,37657,2.120401061,2024-04-25 23:40:00,2024-04-25 23:50:00,136.226.67.101,1,US,2024-04-25 23:40:00,23
57462,20222,77684,0.351919529,2024-04-25 23:40:00,2024-04-25 23:50:00,165.225.212.255,1,CA,2024-04-25 23:40:00,23
2015975,79990,2095965,0.039678071,2024-04-25 23:40:00,2024-04-25 23:50:00,165.225.240.79,1,NL,2024-04-25 23:40:00,23
4064,11384,15448,2.801181102,2024-04-25 23:40:00,2024-04-25 23:50:00,94.188.248.74,1,IL,2024-04-25 23:40:00,23
33268,9986,43254,0.30016833,2024-04-25 23:40:00,2024-04-25 23:50:00,136.226.77.103,1,CA,2024-04-25 23:40:00,23
7424,14656,22080,1.974137931,2024-04-25 23:40:00,2024-04-25 23:50:00,165.225.26.101,1,DE,2024-04-25 23:40:00,23
4758826,289956,5048782,0.060930154,2024-04-25 23:40:00,2024-04-25 23:50:00,155.91.45.242,1,US,2024-04-25 23:40:00,23
17736,36370,54106,2.050631484,2024-04-25 23:40:00,2024-04-25 23:50:00,165.225.209.4,1,CA,2024-04-25 23:40:00,23
60686,35910,96596,0.591734502,2024-04-25 23:50:00,2024-04-26 00:00:00,165.225.33.6,1,US,2024-04-25 23:50:00,23
21698,21218,42916,0.977878145,2024-04-25 23:50:00,2024-04-26 00:00:00,136.226.67.101,1,US,2024-04-25 23:50:00,23
28296,7230,35526,0.255513147,2024-04-25 23:50:00,2024-04-26 00:00:00,165.225.213.7,1,CA,2024-04-25 23:50:00,23
4721,8322,13043,1.762762127,2024-04-25 23:50:00,2024-04-26 00:00:00,165.225.240.79,1,NL,2024-04-25 23:50:00,23
9968,6646,16614,0.666733547,2024-04-25 23:50:00,2024-04-26 00:00:00,165.225.26.101,1,DE,2024-04-25 23:50:00,23
4791678,291275,5082953,0.060787682,2024-04-25 23:50:00,2024-04-26 00:00:00,155.91.45.242,1,US,2024-04-25 23:50:00,23
10768,7248,18016,0.673105498,2024-04-25 23:50:00,2024-04-26 00:00:00,165.225.209.4,1,CA,2024-04-25 23:50:00,23
3996,11776,15772,2.946946947,2024-04-25 23:50:00,2024-04-26 00:00:00,147.161.131.1,1,AT,2024-04-25 23:50:00,23
4220,11570,15790,2.741706161,2024-04-25 23:50:00,2024-04-26 00:00:00,136.226.80.97,1,US,2024-04-25 23:50:00,23
